"IDLuogo";"X";"Y";"Descrizione";"Origine";"Periodo";"Sito";"Gruppo";"Tipo";"Telefono";"Strada";"Citta";"Provincia";"Regione"
1800;8,74;40,89;"Domus de Janas di Scala Coperta";"megaliti";"";"Castelsardo ";"abitato";"domus";"";"SP90";"Castelsardo";"SS";"SAR"
1801;8,77;40,74;"Domus De Janas Monte Peltusu";"megaliti";"";"Chiaramonti ";"abitato";"domus";"";"SS127";"Osilo";"SS";"SAR"
1802;8,77;40,74;"Circolo megalitico Bellimpiattu";"megaliti";"";"Chiaramonti ";"";"";"";"SS127";"Osilo";"SS";"SAR"
1803;8,63;40,66;"Domus De Janas Pedras Serradas";"megaliti";"";"Cargeghe ";"abitato";"domus";"";"SS131";"Cargeghe";"SS";"SAR"
1804;8,63;40,66;"Necropoli Domus De Janas Elighe Entosu";"megaliti";"";"Cargeghe ";"abitato";"domus";"";"SS131";"Cargeghe";"SS";"SAR"
1805;8,63;40,65;"Domus de Janas Su Carralzu";"megaliti";"";"Cargeghe ";"abitato";"domus";"";"Via Pedra Lada";"Florinas";"SS";"SAR"
1806;8,62;40,64;"Domus De Janas S'adde 'e Asile";"megaliti";"";"Ossi ";"abitato";"domus";"";"Via Pedra Lada";"Florinas";"SS";"SAR"
1807;8,61;40,63;"Necropoli a Domus De Janas Mesu e Montes";"megaliti";"";"Ossi ";"abitato";"domus";"";"SP41";"Florinas";"SS";"SAR"
1808;8,62;40,65;"Domus de Janas Pesciarzos";"megaliti";"";"Cargeghe ";"abitato";"domus";"";"SS131";"Cargeghe";"SS";"SAR"
1809;8,59;40,66;"Necrop ipogeica Noeddale - tomba della casa";"megaliti";"";"Ossi ";"sepolture";"tomba";"";"";"Muros";"SS";"SAR"
1810;8,58;40,67;"Domus De Janas (Lungo Strada)";"megaliti";"";"Ossi ";"abitato";"domus";"";"";"Muros";"SS";"SAR"
1811;8,59;40,60;"Necropoli ipogeica Sa Figu (1800 aC)";"megaliti";"";"Ittiri ";"ipogei";"ipogeo";"";"SP41";"Florinas";"SS";"SAR"
1812;8,59;40,60;"Circolo megalitico I Sa Figu";"megaliti";"";"Ittiri ";"";"";"";"SP41";"Florinas";"SS";"SAR"
1813;8,59;40,60;"Circolo megalitico II Sa Figu";"megaliti";"";"Ittiri ";"";"";"";"SP41";"Florinas";"SS";"SAR"
1814;8,56;40,58;"Domus de Janas Musellos II-III";"megaliti";"";"Ittiri ";"abitato";"domus";"";"NSA167";"Ittiri";"SS";"SAR"
1815;8,56;40,58;"Domus de Janas Musellos I";"megaliti";"";"Ittiri ";"abitato";"domus";"";"NSA167";"Ittiri";"SS";"SAR"
1816;8,62;40,56;"Domus de Janas Ena de Cannuja";"megaliti";"";"Bessude ";"abitato";"domus";"";"SS131bis";"Bessude";"SS";"SAR"
1817;8,63;40,59;"Domus de Janas Campu Lontanu";"megaliti";"";"Florinas ";"abitato";"domus";"";"SP41";"Florinas";"SS";"SAR"
1818;8,64;40,51;"Domus de Janas Mandra Antine";"megaliti";"";"Thiesi ";"abitato";"domus";"";"SS131bis";"Bessude";"SS";"SAR"
1819;8,72;40,43;"Domus de Janas riutilizzate Su Fronte";"megaliti";"";"Cossoine ";"abitato";"domus";"";"SS292dir";"Cossoine";"SS";"SAR"
1820;8,77;40,45;"Domus de Janas";"megaliti";"";"Giave ";"abitato";"domus";"";"SP124";"Giave";"SS";"SAR"
1821;8,83;40,48;"Dolmen Sa Pedra Longa o Su Crastu Covaccadu";"megaliti";"";"Torralba ";"";"dolmen";"";"SP47";"Mores";"SS";"SAR"
1822;8,86;40,50;"Dolmen Sa Coveccada";"megaliti";"";"Mores ";"";"dolmen";"";"SP47";"Mores";"SS";"SAR"
1823;8,84;40,54;"Dolmen sa Coveccada";"megaliti";"";"Mores ";"";"dolmen";"";"SP47";"Mores";"SS";"SAR"
1825;8,83;40,56;"Domus de Janas Su Stampu e Sa Fata";"megaliti";"";"Mores ";"abitato";"domus";"";"SS128bis";"Ittireddu";"SS";"SAR"
1826;8,89;40,54;"Necropoli a Domus De Janas Partulesi";"megaliti";"";"Ittireddu ";"abitato";"domus";"";"";"Ittireddu";"SS";"SAR"
1827;8,84;40,42;"Domus de janas sopra formazione rocciosa";"megaliti";"";"Bonorva ";"abitato";"domus";"";"SP21";"Bonorva";"SS";"SAR"
1828;8,84;40,42;"Domus de janas della Coppella";"megaliti";"";"Bonorva ";"abitato";"domus";"";"SP21";"Bonorva";"SS";"SAR"
1829;8,84;40,42;"Domus de janas monumentale Tomba del Capo";"megaliti";"";"Bonorva ";"abitato";"domus";"";"SP21";"Bonorva";"SS";"SAR"
1830;8,84;40,42;"Domus de janas monumentale Tomba a capanna";"megaliti";"";"Bonorva ";"abitato";"domus";"";"SP21";"Bonorva";"SS";"SAR"
1831;8,84;40,42;"Domus de janas monumentale Tomba a camera";"megaliti";"";"Bonorva ";"abitato";"domus";"";"SP21";"Bonorva";"SS";"SAR"
1832;8,84;40,42;"Domus de janas vicino al toro monumentale";"megaliti";"";"Bonorva ";"abitato";"domus";"";"SP21";"Bonorva";"SS";"SAR"
1833;8,84;40,42;"Domus de janas S.Andrea Priu (domus isolata)";"megaliti";"";"Bonorva ";"abitato";"domus";"";"SP21";"Bonorva";"SS";"SAR"
1834;8,84;40,42;"Ingr.zona archeol. S.Andrea Priu (3000 aC)";"megaliti";"";"Bonorva ";"musei e parchi";"zona archeologica";"";"SP21";"Bonorva";"SS";"SAR"
1835;8,85;40,41;"Domus de Janas";"megaliti";"";"Giave ";"abitato";"domus";"";"SP21";"Bonorva";"SS";"SAR"
1836;8,81;40,29;"Domus de janas di Orolo";"megaliti";"";"Bortigali ";"abitato";"domus";"";"SP62";"Bortigali";"NU";"SAR"
1837;8,81;40,26;"Dolmen Lassia o Noazza I";"megaliti";"";"Birori ";"";"dolmen";"";"SP57";"Birori";"NU";"SAR"
1838;8,81;40,25;"resti Dolmen Lassia o Noazza II";"megaliti";"";"Birori ";"abitato";"ruderi";"";"SS131";"Birori";"NU";"SAR"
1839;8,81;40,24;"Dolmen Sarbogadas";"megaliti";"";"Birori ";"";"dolmen";"";"SP57";"Birori";"NU";"SAR"
1840;8,80;40,24;"Domus de Janas Bau Cannas";"megaliti";"";"Birori ";"abitato";"domus";"";"SS131";"Borore";"NU";"SAR"
1841;8,84;40,23;"Dolmen Arbu";"megaliti";"";"Birori ";"";"dolmen";"";"Via Roma";"Borore";"NU";"SAR"
1842;8,87;40,28;"Domus de Janas di Ordari";"megaliti";"";"Silanus ";"abitato";"domus";"";"SS129";"Silanus";"NU";"SAR"
1843;8,76;40,27;"Necropoli Ipogeica Filigosa (2900 aC)";"megaliti";"";"Macomer ";"ipogei";"ipogeo";"";"Ospedale";"Macomer";"NU";"SAR"
1844;8,83;40,16;"Dolmen Succhiau";"megaliti";"";"Aidomaggiore ";"";"dolmen";"";"Via G. Marconi";"Norbello";"OR";"SAR"
1845;8,90;40,16;"Domus de Janas Ispiluncas";"megaliti";"";"Sedilo ";"abitato";"domus";"";"Sentiero per Ispiluncas";"Sedilo";"OR";"SAR"
1846;8,93;40,09;"Domus de Janas Monte Calighe";"megaliti";"";"Ardauli ";"abitato";"domus";"";"SP15";"Sorradile";"OR";"SAR"
1847;8,93;40,09;"Domus de Janas Muruddu -Inaccessibile";"megaliti";"";"Ardauli ";"abitato";"domus";"";"SP15";"Sorradile";"OR";"SAR"
1848;8,82;40,07;"Domus de Janas di Trempu";"megaliti";"";"Ghilarza ";"abitato";"domus";"";"SP23";"Ghilarza";"OR";"SAR"
1849;8,82;40,05;"Circolo Megalitico Di Ausadu";"megaliti";"";"Ghilarza ";"";"";"";"SP11";"Paulilatino";"OR";"SAR"
1850;8,82;40,00;"Domus de Janas di Gularis";"megaliti";"";"Fordongianus ";"abitato";"domus";"";"SS388";"Fordongianus";"OR";"SAR"
1851;8,81;39,98;"Domus de Janas di Is Domigheddas";"megaliti";"";"Fordongianus ";"abitato";"domus";"";"Strada Provinciale Fordongianus-Allai";"Fordongianus";"OR";"SAR"
1852;8,78;40,00;"Casteddu Ecciu Domus De Janas";"megaliti";"";"Fordongianus ";"abitato";"domus";"";"SS388";"Fordongianus";"OR";"SAR"
1853;8,73;40,08;"Domus de Janas e villaggio di Goronna";"megaliti";"";"Paulilatino ";"abitato";"domus";"";"SP11";"Paulilatino";"OR";"SAR"
1854;8,67;40,00;"Domus De Janas S. Barbara";"megaliti";"";"Bauladu ";"abitato";"domus";"";"Caminu Santa Barbara / Sentiero Santa Barbara";"Bauladu";"OR";"SAR"
1855;8,47;40,01;"Domus de Janas Serra Is Araus";"megaliti";"";"San Vero Milis ";"abitato";"domus";"";"SP10";"San Vero Milis";"OR";"SAR"
1856;8,44;39,96;"Zona archeol Monte Prama (sculture tufo)";"megaliti";"";"Cabras ";"musei e parchi";"zona archeologica";"";"SP7";"Cabras";"OR";"SAR"
1857;8,52;40,23;"Muraglia megalitica s'Albaredda";"megaliti";"";"Tresnuraghes ";"difesa";"mura";"";"SS292";"Sennariolo";"OR";"SAR"
1858;8,53;40,23;"Domus de Janas Riu Lobos";"megaliti";"";"Tresnuraghes ";"abitato";"domus";"";"SS292";"Sennariolo";"OR";"SAR"
1859;8,53;40,28;"Domus de Janas Albaganes";"megaliti";"";"Modolo ";"abitato";"domus";"";"SS129bis";"Modolo";"OR";"SAR"
1860;8,59;40,33;"Necropoli a Domus De Janas di Chirisconis";"megaliti";"";"Suni ";"abitato";"domus";"";"SS292";"Pozzomaggiore";"SS";"SAR"
1861;8,51;40,48;"Domus Janas Pottu Codinu (3000aC)";"megaliti";"";"Villanova Monteleone ";"abitato";"domus";"";"SS292";"Villanova Monteleone";"SS";"SAR"
1862;8,51;40,48;"ingres.Domus de Janas Pottu Codinu";"megaliti";"";"Villanova Monteleone ";"abitato";"domus";"";"SS292";"Villanova Monteleone";"SS";"SAR"
1863;8,52;40,49;"Dolmen e Nuraghe Monte Sa Rughe";"megaliti";"";"Villanova Monteleone ";"";"nuraghe";"";"SS292";"Villanova Monteleone";"SS";"SAR"
1864;8,45;40,51;"Domus de Janas Pottu Codinu";"megaliti";"";"Alghero ";"abitato";"domus";"";"SS292";"Villanova Monteleone";"SS";"SAR"
1865;8,41;40,44;"Menhirs Appiu";"megaliti";"";"Villanova Monteleone ";"religione";"menhir";"";"SP19";"Villanova Monteleone";"SS";"SAR"
1866;8,38;40,58;"Domus De Janas Matteatu";"megaliti";"";"Alghero ";"abitato";"domus";"";"SS127bis";"Alghero";"SS";"SAR"
1867;8,36;40,58;"Domus De Janas Calvia";"megaliti";"";"Alghero ";"abitato";"domus";"";"SS127bis";"Alghero";"SS";"SAR"
1868;8,36;40,58;"Nuraghe e Domus De Janas S. Elmo";"megaliti";"";"Alghero ";"abitato";"domus";"";"SS127bis";"Alghero";"SS";"SAR"
1869;8,35;40,58;"Nuraghe e Domus de Janas Bullittas";"megaliti";"";"Alghero ";"abitato";"domus";"";"SS127bis";"Alghero";"SS";"SAR"
1870;8,32;40,58;"Nuraghe monotorre e Domus De Janas Taulera";"megaliti";"";"Alghero ";"abitato";"domus";"";"Via Pisa";"Alghero";"SS";"SAR"
1871;8,32;40,63;"Domus de Janas Anghelu Ruiu";"megaliti";"";"Olmedo ";"abitato";"domus";"";"Strada dei Due Mari";"Alghero";"SS";"SAR"
1872;8,26;40,63;"Nuraghe e Tomba dei Giganti Carraxiu";"megaliti";"";"Alghero ";"sepolture";"tomba";"";"Regione Arenosu";"Alghero";"SS";"SAR"
1873;8,23;40,64;"Domus de Janas Planu de Orune";"megaliti";"";"Alghero ";"abitato";"domus";"";"SP55bis";"Alghero";"SS";"SAR"
1874;8,40;40,62;"Tomba Vasi Tetrapodi (3000 aC)";"megaliti";"";"Olmedo ";"sepolture";"tomba";"";"SS127bis";"Alghero";"SS";"SAR"
1875;8,42;40,60;"Domus de Janas s'Incantu (con dipinti)";"megaliti";"";"Putifigari ";"abitato";"domus";"";"SS127bis";"Alghero";"SS";"SAR"
1876;8,47;40,63;"Tomba ipogeica nuragica Su Biglianu";"megaliti";"";"Uri ";"sepolture";"tomba";"";"SS127bis";"Uri";"SS";"SAR"
1877;8,50;40,66;"Domus de Janas";"megaliti";"";"Usini ";"abitato";"domus";"";"SS127bis";"Usini";"SS";"SAR"
1878;8,43;40,75;"Domus de Janas Tanca dell'Uliveto I";"megaliti";"";"Sassari ";"abitato";"domus";"";"SS131";"Sassari";"SS";"SAR"
1879;8,42;40,75;"Domus de Janas Tanca dell'Uliveto II";"megaliti";"";"Sassari ";"abitato";"domus";"";"SS131";"Sassari";"SS";"SAR"
1880;8,44;40,79;"Santuario prenuragico Monte d'Accoddi";"megaliti";"";"Sassari ";"";"nuraghe";"";"ex SS131";"Sassari";"SS";"SAR"
1881;8,44;40,81;"Domus de Janas e strada romana Su Crocifis";"megaliti";"";"Porto Torres ";"abitato";"domus";"";"ex SS131";"Sassari";"SS";"SAR"
1882;9,03;40,30;"Domus de Janas di Molia";"megaliti";"";"Illorai ";"abitato";"domus";"";"SS129";"Orotelli";"NU";"SAR"
1883;9,17;40,29;"Necropoli a Domus de Janas Sas Concas";"megaliti";"";"Oniferi ";"abitato";"domus";"";"SS131DCN";"Oniferi";"NU";"SAR"
1884;9,17;40,32;"Necropoli a Domus de Janas Brodu";"megaliti";"";"Oniferi ";"abitato";"domus";"";"SS129";"Oniferi";"NU";"SAR"
1885;9,19;40,31;"Domus de Janas Sas Concas (2700 aC)";"megaliti";"";"Oniferi ";"abitato";"domus";"";"SS131DCN";"Orani";"NU";"SAR"
1886;9,27;40,22;"Domu de Janas e Menhir di Boeli";"megaliti";"";"Mamoiada ";"religione";"menhir";"";"SS389";"Mamoiada";"NU";"SAR"
1887;9,27;40,21;"Menhir Perda Pinta'";"megaliti";"";"Mamoiada ";"religione";"menhir";"";"SS389";"Mamoiada";"NU";"SAR"
1888;9,26;40,16;"Menhir Sa Perda Longa o S'Itria";"megaliti";"";"Gavoi ";"religione";"menhir";"";"SP30";"Gavoi";"NU";"SAR"
1889;9,25;40,16;"Domus de Janas Uniai";"megaliti";"";"Gavoi ";"abitato";"domus";"";"SP30";"Gavoi";"NU";"SAR"
1890;9,25;40,15;"Domus de Janas Corrinzola*";"megaliti";"";"Gavoi ";"abitato";"domus";"";"SP30";"Gavoi";"NU";"SAR"
1891;9,26;40,12;"Domus de Janas";"megaliti";"";"Fonni ";"abitato";"domus";"";"SP2ter";"Fonni";"NU";"SAR"
1892;9,21;40,09;"Menhirs Arato";"megaliti";"";"Ovodda ";"religione";"menhir";"";"SS389dir/B";"Fonni";"NU";"SAR"
1893;9,18;40,09;"Domus de Janas s'Abba Bogada";"megaliti";"";"Ovodda ";"abitato";"domus";"";"SS128";"Tiana";"NU";"SAR"
1894;9,03;40,01;"Menhirs Biru e Concas - piccolo allineamento";"megaliti";"";"Ortueri ";"religione";"menhir";"";"SS388";"Ortueri";"NU";"SAR"
1895;9,03;40,01;"Menhirs Biru e Concas - grande allineamento";"megaliti";"";"Ortueri ";"religione";"menhir";"";"SS388";"Ortueri";"NU";"SAR"
1896;9,02;39,89;"Allineamento Menhirs Perda Iddocca";"megaliti";"";"Laconi ";"religione";"menhir";"";"Strada Di Penetrazione Agraria";"Laconi";"OR";"SAR"
1897;9,02;39,89;"Allee Couverte Corte Noa";"megaliti";"";"Laconi ";"";"";"";"Strada Di Penetrazione Agraria";"Laconi";"OR";"SAR"
1898;9,01;39,89;"Menhirs Corte Noa";"megaliti";"";"Laconi ";"religione";"menhir";"";"Strada Di Penetrazione Agraria";"Laconi";"OR";"SAR"
1899;9,01;39,89;"Menhirs Corte Noa II";"megaliti";"";"Laconi ";"religione";"menhir";"";"Strada Di Penetrazione Agraria";"Laconi";"OR";"SAR"
1900;9,01;39,88;"Menhirs Perda Iddocca";"megaliti";"";"Laconi ";"religione";"menhir";"";"Strada Di Penetrazione Agraria";"Laconi";"OR";"SAR"
1901;9,02;39,85;"Menhir";"megaliti";"";"Laconi ";"religione";"menhir";"";"Strada Di Penetrazione Agraria";"Laconi";"OR";"SAR"
1902;9,01;39,85;"Domus de Janas S'Arratzraxu";"megaliti";"";"Laconi ";"abitato";"domus";"";"Strada Di Penetrazione Agraria";"Laconi";"OR";"SAR"
1903;9,05;39,85;"Parco e Castello fortificato romanico";"megaliti";"";"Laconi ";"difesa";"castello";"";"Via San Martino";"Laconi";"OR";"SAR"
1906;8,96;39,85;"Cromlech e Menhir Is Cirquittus";"megaliti";"";"Laconi ";"religione";"menhir";"";"";"Asuni";"OR";"SAR"
1907;8,90;39,84;"Necropoli Domus de Janas Genna S'Ilixi";"megaliti";"";"Villa S.Antonio ";"abitato";"domus";"";"SP36";"Mogorella";"OR";"SAR"
1908;9,10;39,74;"Domus de Janas Tana de Mrexani";"megaliti";"";"Isili ";"abitato";"domus";"";"Via Umberto I";"";"CA";"SAR"
1909;9,12;39,75;"Domus De Janas Concali De Tzoppas";"megaliti";"";"Isili ";"abitato";"domus";"";"Strada Statale 128 Centrale Sarda";"Isili";"CA";"SAR"
1910;9,22;39,74;"Domus de Janas di Frissas o Friscas";"megaliti";"";"Nurri ";"abitato";"domus";"";"SS198";"Nurri";"CA";"SAR"
1911;9,24;39,70;"Domus de Janas parco Su Motti gruppo 3";"megaliti";"";"Orroli ";"abitato";"domus";"";"";"Orroli";"CA";"SAR"
1912;9,24;39,70;"Domus de Janas parco Su Motti gruppo 1";"megaliti";"";"Orroli ";"abitato";"domus";"";"";"Orroli";"CA";"SAR"
1913;9,25;39,70;"Domus de Janas parco Su Motti gruppo 2";"megaliti";"";"Orroli ";"abitato";"domus";"";"";"Orroli";"CA";"SAR"
1914;9,25;39,69;"Domus de Janas c/o Antichi Ovili";"megaliti";"";"Orroli ";"abitato";"domus";"";"SP29";"Orroli";"CA";"SAR"
1915;9,27;39,66;"Domus de Janas Santa Caterina";"megaliti";"";"Orroli ";"abitato";"domus";"";"SP29";"Orroli";"CA";"SAR"
1916;9,33;39,61;"Domus de Janas San Giovanni";"megaliti";"";"Escalaplano ";"abitato";"domus";"";"SP10";"Escalaplano";"CA";"SAR"
1917;9,33;39,61;"Domus de Janas de Sa Fossada";"megaliti";"";"Escalaplano ";"abitato";"domus";"";"SP10";"Escalaplano";"CA";"SAR"
1918;9,27;39,57;"Domus de janas di Serrionis";"megaliti";"";"Goni ";"abitato";"domus";"";"SP23";"Goni";"CA";"SAR"
1919;9,26;39,56;"Pranu Mutteddu Tomba III";"megaliti";"";"Goni ";"sepolture";"tomba";"";"SP23";"Goni";"CA";"SAR"
1920;9,26;39,56;"Pranu Mutteddu Tomba II";"megaliti";"";"Goni ";"sepolture";"tomba";"";"SP23";"Goni";"CA";"SAR"
1921;9,26;39,56;"Parco Archeol megalitico Pranu Mutteddu";"megaliti";"";"Goni ";"";"parco";"";"SP23";"Goni";"CA";"SAR"
1922;9,26;39,56;"Pranu Mutteddu Tomba I";"megaliti";"";"Goni ";"sepolture";"tomba";"";"SP23";"Goni";"CA";"SAR"
1923;9,26;39,56;"Pranu Mutteddu - Allineam 20 menhirs";"megaliti";"";"Goni ";"religione";"menhir";"";"SP23";"Goni";"CA";"SAR"
1924;9,27;39,56;"Pranu Mutteddu Domus de Janas";"megaliti";"";"Goni ";"abitato";"domus";"";"SP23";"Goni";"CA";"SAR"
1925;9,27;39,56;"Pranu Mutteddu Tomba IV";"megaliti";"";"Goni ";"sepolture";"tomba";"";"SP23";"Goni";"CA";"SAR"
1926;9,27;39,56;"Pranu Mutteddu Tomba V";"megaliti";"";"Goni ";"sepolture";"tomba";"";"SP23";"Goni";"CA";"SAR"
1927;9,30;39,76;"Recinto megalitico Monte Santa Vittoria";"megaliti";"";"Esterzili ";"";"";"";"SP53";"Esterzili";"CA";"SAR"
1928;9,27;39,87;"Domu de janas di Su Forreddu 'e Lareri";"megaliti";"";"Seulo ";"";"";"";"SP8";"Seulo";"CA";"SAR"
1929;9,20;39,87;"Domus de janas di Bacu Forru";"megaliti";"";"Seulo ";"abitato";"domus";"";"SP8";"Seulo";"CA";"SAR"
1930;9,05;39,53;"Domus de Janas Gutturu e Turri B";"megaliti";"";"Ortacesus ";"abitato";"domus";"";"SP34";"Ortacesus";"CA";"SAR"
1931;9,05;39,53;"Domus de Janas Gutturu e Turri A";"megaliti";"";"Ortacesus ";"abitato";"domus";"";"SP34";"Ortacesus";"CA";"SAR"
1932;9,06;39,53;"Domus de Janas Gutturu e Turri C";"megaliti";"";"Ortacesus ";"abitato";"domus";"";"SP34";"Ortacesus";"CA";"SAR"
1933;9,06;39,53;"Domus de Janas Gutturu e Turri C";"megaliti";"";"Ortacesus ";"abitato";"domus";"";"SP34";"Ortacesus";"CA";"SAR"
1934;9,05;39,53;"Cerchio megalitico Bruncu Su Senzu";"megaliti";"";"Ortacesus ";"";"";"";"SP34";"Ortacesus";"CA";"SAR"
1935;9,01;39,51;"Domus de Janas neolitica ipogeica";"megaliti";"";"Samatzai ";"abitato";"domus";"";"SP34";"Ortacesus";"CA";"SAR"
1936;9,01;39,46;"Nuraghe e Necrop preistor Serra Cannigas";"megaliti";"";"Samatzai ";"";"nuraghe";"";"Via Samatzai";"Nuraminis";"CA";"SAR"
1937;9,05;39,38;"Domus de Janas Monte Zara 2-3";"megaliti";"";"Monastir ";"abitato";"domus";"";"Carlo Felice";"San Sperate";"CA";"SAR"
1938;9,05;39,38;"Domus de Janas Monte Zara 4";"megaliti";"";"Monastir ";"abitato";"domus";"";"Carlo Felice";"San Sperate";"CA";"SAR"
1939;9,05;39,38;"Domus de Janas Monte Zara 1";"megaliti";"";"Monastir ";"abitato";"domus";"";"Carlo Felice";"San Sperate";"CA";"SAR"
1940;9,06;39,36;"Domus De Janas Monte Oladri";"megaliti";"";"Monastir ";"abitato";"domus";"";"Carlo Felice";"San Sperate";"CA";"SAR"
1941;9,06;39,36;"Villaggio prenuragico Monte Oladri (IV mil.aC)";"megaliti";"";"Ussana ";"";"nuraghe";"";"Carlo Felice";"San Sperate";"CA";"SAR"
1942;9,06;39,35;"Necropoli a Domus de Janas Is Aruttas";"megaliti";"";"Monastir ";"abitato";"domus";"";"Carlo Felice";"San Sperate";"CA";"SAR"
1943;9,07;39,34;"Area antico Villaggio neolitico di San Gemiliano";"megaliti";"";"Sestu ";"";"villaggio";"";"Strada Comunale San Gemiliano";"Sestu";"CA";"SAR"
1944;9,06;39,33;"Villaggio prenuragico San Gemiliano (III mil.aC)";"megaliti";"";"Sestu ";"";"nuraghe";"";"Strada Comunale San Gemiliano";"Sestu";"CA";"SAR"
1945;9,17;39,31;"Domus de Janas S'Acqua e Is Dolus";"megaliti";"";"Sinnai ";"abitato";"domus";"";"Via Pineta";"Sinnai";"CA";"SAR"
1946;9,34;39,21;"Costruzione Megalitica Monte Accutzu";"megaliti";"";"Burcei ";"";"";"";"Murtineddu";"Quartu Sant'Elena";"CA";"SAR"
1947;9,55;39,28;"Complesso Megalitico a Menhirs Cuili Piras";"megaliti";"";"Muravera ";"religione";"menhir";"";"Strada Provinciale 18";"Castiadas";"CA";"SAR"
1948;9,56;39,27;"Menhirs di Nuraghe Scalas";"megaliti";"";"Muravera ";"religione";"menhir";"";"Via dei Falchi";"Muravera";"CA";"SAR"
1949;9,56;39,27;"Complesso megalitico di Nuraghe Scalas";"megaliti";"";"Castiadas ";"";"nuraghe";"";"Via dei Falchi";"Muravera";"CA";"SAR"
1950;9,58;39,26;"Complesso megalitico di Piscina Rei";"megaliti";"";"Castiadas ";"";"piscina";"";"Via delle Tamerici";"Muravera";"CA";"SAR"
1951;9,54;39,43;"Domus de janas ipogeiche Pranu Narbonis";"megaliti";"";"San Vito ";"abitato";"domus";"";"Via Sassari";"San Vito";"CA";"SAR"
1952;9,63;39,53;"Domu de Janas S'Oru";"megaliti";"";"Villaputzu ";"";"";"";"SS125";"Villaputzu";"CA";"SAR"
1953;9,55;39,68;"Domus de janas di Santa Lughia";"megaliti";"";"Tertenia ";"abitato";"domus";"";"";"Tertenia";"OG";"SAR"
1954;9,55;39,68;"Domus de janas di Bau e Carrus";"megaliti";"";"Tertenia ";"abitato";"domus";"";"";"Tertenia";"OG";"SAR"
1955;9,65;39,76;"Domus de Janas di Monte Arista";"megaliti";"";"Cardedu ";"abitato";"domus";"";"";"Cardedu";"OG";"SAR"
1956;9,66;39,79;"complesso megalitico Costa Ibba";"megaliti";"";"Cardedu ";"";"";"";"Via Buoncammino";"Cardedu";"OG";"SAR"
1957;9,67;39,82;"Menhir di Lurcuri";"megaliti";"";"Barisardo ";"religione";"menhir";"";"Via Belvedere";"Bari Sardo";"OG";"SAR"
1958;9,66;39,84;"Domus de janas di Pizzu e Monti";"megaliti";"";"Barisardo ";"abitato";"domus";"";"";"Bari Sardo";"OG";"SAR"
1959;9,65;39,85;"Domus de janas di Ibba Manna";"megaliti";"";"Barisardo ";"abitato";"domus";"";"";"Bari Sardo";"OG";"SAR"
1960;9,63;39,87;"Domus de janas di S Abba e sa Murta";"megaliti";"";"Barisardo ";"abitato";"domus";"";"SS125";"Ilbono";"OG";"SAR"
1961;9,65;39,88;"Menhir di Sa Perda Longa";"megaliti";"";"Tortoli ";"religione";"menhir";"";"SS125";"Tortolì";"OG";"SAR"
1962;9,67;39,90;"Domus de janas di San Salvatore";"megaliti";"";"Girasole ";"abitato";"domus";"";"";"Tortolì";"OG";"SAR"
1963;9,66;39,91;"Menhir di S Ortali e Su Monti";"megaliti";"";"Girasole ";"religione";"menhir";"";"SS125";"Tortolì";"OG";"SAR"
1964;9,66;39,91;"Domus de janas di S Ortali e Su Monti";"megaliti";"";"Girasole ";"abitato";"domus";"";"";"Tortolì";"OG";"SAR"
1965;9,68;39,84;"Domus de janas di Giba e Scorca";"megaliti";"";"Barisardo ";"abitato";"domus";"";"Viale della Pineta";"Bari Sardo";"OG";"SAR"
1966;9,62;39,84;"Necropoli a Domus de Janas Su Pranu";"megaliti";"";"Barisardo ";"abitato";"domus";"";"SS390";"Loceri";"OG";"SAR"
1967;9,59;39,90;"Domus de Janas Sceri'";"megaliti";"";"Ilbono ";"abitato";"domus";"";"SS198";"Ilbono";"OG";"SAR"
1968;9,59;39,90;"Menhir di Texere";"megaliti";"";"Ilbono ";"religione";"menhir";"";"SS198";"Ilbono";"OG";"SAR"
1969;9,63;39,97;"Necropoli a Domus De Janas di Tracucu";"megaliti";"";"Lotzorai ";"abitato";"domus";"";"Via Crispi";"Lotzorai";"OG";"SAR"
1970;9,63;39,97;"Domus de janas di Genna Tramonti";"megaliti";"";"Lotzorai ";"abitato";"domus";"";"Via Crispi";"Lotzorai";"OG";"SAR"
1971;9,62;40,25;"Grotta Bue Marino (incis rupestri)";"megaliti";"";"Dorgali ";"ipogei";"grotte";"";"";"Dorgali";"NU";"SAR"
1972;9,60;40,27;"Dolmen Monte Longu";"megaliti";"";"Dorgali ";"";"dolmen";"";"Viale Cristoforo Colombo";"Dorgali";"NU";"SAR"
1973;9,59;40,29;"Domus de Janas Pirische";"megaliti";"";"Dorgali ";"abitato";"domus";"";"Viale Enrico Fermi";"Dorgali";"NU";"SAR"
1974;9,59;40,30;"Domus de Janas";"megaliti";"";"Dorgali ";"abitato";"domus";"";"Via Balu Virde";"Dorgali";"NU";"SAR"
1975;9,57;40,30;"Dolmen Motorra (III mill.aC)";"megaliti";"";"Dorgali ";"";"dolmen";"";"SS125";"Dorgali";"NU";"SAR"
1976;9,61;40,34;"Domus De Janas Conca e Janas I-II-III";"megaliti";"";"Galtelli ";"abitato";"domus";"";"SS125";"Dorgali";"NU";"SAR"
1977;9,61;40,34;"Domus De Janas Conca e Janas VI-VII";"megaliti";"";"Galtelli ";"abitato";"domus";"";"SS125";"Dorgali";"NU";"SAR"
